orderid,shopid,userid,event_time
3.11E+13,93950878,30530270,12/27/2019 0:23
3.11E+13,156423439,46057927,12/27/2019 11:54
3.11E+13,173699291,67341739,12/27/2019 13:22
3.11E+13,63674025,149380322,12/27/2019 13:01
3.11E+13,127249066,149493217,12/27/2019 11:37
3.11E+13,173811070,116451780,12/27/2019 12:22
3.12E+13,107921853,166741763,12/27/2019 21:08
3.11E+13,178400128,61272835,12/27/2019 1:17
3.11E+13,147941492,10986763,12/27/2019 12:00
3.11E+13,164933170,135957741,12/27/2019 16:10
3.11E+13,9374147,126960343,12/27/2019 3:21
3.11E+13,145694343,51755513,12/27/2019 10:11
3.12E+13,96464079,67549902,12/27/2019 23:37
3.11E+13,30988921,96009561,12/27/2019 12:44
3.11E+13,199867753,60686479,12/27/2019 11:55
3.11E+13,67162407,71298029,12/27/2019 20:00
3.11E+13,65883234,29949602,12/27/2019 13:22
3.11E+13,33242381,145692427,12/27/2019 10:17
3.11E+13,3285661,59050947,12/27/2019 1:13
3.11E+13,95138572,16021925,12/27/2019 16:38
3.12E+13,286003,42990566,12/27/2019 22:10
3.11E+13,12662873,119483527,12/27/2019 17:12
3.11E+13,147941492,206749550,12/27/2019 17:00
3.12E+13,152569117,94844834,12/27/2019 21:18
3.11E+13,8051258,122192495,12/27/2019 10:36
3.11E+13,12480907,214216148,12/27/2019 0:58
3.11E+13,60239193,203188391,12/27/2019 8:22
3.12E+13,106779896,66877622,12/27/2019 23:22
3.12E+13,111250776,180011967,12/27/2019 23:28
3.11E+13,51526935,88928116,12/27/2019 4:28
3.11E+13,195394274,214430772,12/27/2019 19:18
3.11E+13,52637837,62039711,12/27/2019 15:17
3.11E+13,43719124,5188952,12/27/2019 7:35
3.12E+13,60489360,54789582,12/27/2019 21:33
3.11E+13,161269907,22936073,12/27/2019 15:52
3.11E+13,1175477,150633728,12/27/2019 13:34
3.11E+13,213154942,119257587,12/27/2019 13:37
3.11E+13,39938958,67554544,12/27/2019 18:07
3.12E+13,168748997,58698591,12/27/2019 21:49
3.11E+13,93363430,26288395,12/27/2019 14:23
3.11E+13,96757689,21597636,12/27/2019 18:52
3.11E+13,90339629,62730727,12/27/2019 12:24
3.12E+13,193010376,56699817,12/27/2019 22:33
3.11E+13,137754804,40201302,12/27/2019 7:57
3.11E+13,152871252,53395274,12/27/2019 13:06
3.11E+13,67960532,197681,12/27/2019 12:36
3.12E+13,64625969,105733799,12/27/2019 22:50
3.11E+13,4669871,17269309,12/27/2019 8:31
3.11E+13,62713846,103313642,12/27/2019 16:13
